cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3529807;Mineiros do Tietê;Interior;Abril;4;12597;2057;1;21324
3529906;Miracatu;Interior;Abril;4;19934;2946;2;100148
3530003;Mira Estrela;Interior;Abril;0;2939;679;0;21683
3530102;Mirandópolis;Interior;Abril;6;28646;5119;2;91769
3530201;Mirante do Paranapanema;Interior;Abril;0;17769;3373;0;123893
3530300;Mirassol;Interior;Abril;6;57824;10113;0;24323
3530409;Mirassolândia;Interior;Abril;0;4702;848;0;16613
3530508;Mococa;Interior;Abril;4;66753;12553;1;85516
3530607;Mogi das Cruzes;RMSP (exceto capital);Abril;234;432905;60748;20;71254
3530706;Mogi Guaçu;Interior;Abril;22;148325;23961;1;81275
3530805;Mogi Mirim;Interior;Abril;4;90439;16221;0;49771
3530904;Mombuca;Interior;Abril;0;3332;476;0;1337
3531001;Monções;Interior;Abril;0;2175;485;0;10435
3531100;Mongaguá;Interior;Abril;11;54610;9236;1;14321
3531209;Monte Alegre do Sul;Interior;Abril;0;7749;1494;0;11031
3531308;Monte Alto;Interior;Abril;13;48405;9292;1;34695
3531407;Monte Aprazível;Interior;Abril;0;23458;4433;0;49556
3531506;Monte Azul Paulista;Interior;Abril;1;18191;3362;0;26346
3531605;Monte Castelo;Interior;Abril;0;3991;936;0;23355
3531704;Monteiro Lobato;Interior;Abril;0;4465;820;0;33274
3531803;Monte Mor;Interior;Abril;5;59614;7075;2;24057
3531902;Morro Agudo;Interior;Abril;1;32332;3967;0;138813
3532009;Morungaba;Interior;Abril;7;13247;1927;0;14675
3532058;Motuca;Interior;Abril;0;4638;739;0;2287
3532108;Murutinga do Sul;Interior;Abril;0;4281;979;0;25087
3532157;Nantes;Interior;Abril;0;3071;395;0;28665
3532207;Narandiba;Interior;Abril;0;4841;650;0;35733
3532306;Natividade da Serra;Interior;Abril;0;6698;1435;0;83337
3532405;Nazaré Paulista;Interior;Abril;5;18445;2953;1;32625
3532504;Neves Paulista;Interior;Abril;0;8620;1987;0;21905
3532603;Nhandeara;Interior;Abril;1;10782;2528;0;43616
3532702;Nipoã;Interior;Abril;0;4969;676;0;13761
3532801;Nova Aliança;Interior;Abril;0;6450;1192;0;21752
3532827;Nova Campina;Interior;Abril;0;9675;986;0;38538
3532843;Nova Canaã Paulista;Interior;Abril;0;1937;552;0;12447
3532868;Nova Castilho;Interior;Abril;0;1176;215;0;1834
3532900;Nova Europa;Interior;Abril;0;10749;1437;0;16025
3533007;Nova Granada;Interior;Abril;0;20918;3464;0;5318
3533106;Nova Guataporanga;Interior;Abril;1;2191;507;0;3416
